block_number,n_chunks,chunk_boundaries,source_file,sequence_type,method,participant_id,session,day_index
6,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
12,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
13,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
14,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
19,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
21,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
27,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
29,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
33,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
34,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
36,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
40,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
41,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
43,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
47,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
50,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
51,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
53,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
56,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
60,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
61,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
66,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
69,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
77,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
81,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
82,1,[],SRT/GR_04_Fr_04_20250630_FRA_1_fertig.csv,blue,hsmm_chunking,GR_04_Fr_04,FRA_1,1
