block_number,n_chunks,chunk_boundaries,source_file,sequence_type,method,participant_id,session,day_index
9,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
16,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
22,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
29,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
32,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
33,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
35,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
38,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
39,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
43,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
44,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
45,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
51,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
54,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
58,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
59,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
60,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
68,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
69,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
70,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
73,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
75,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
77,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
78,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
80,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
87,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
93,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
97,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
100,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
103,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
106,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
107,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
108,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
113,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
114,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
119,1,[],SRT/GR_10_Hr_10_20250320_FRA_2_fertig.csv,blue,hsmm_chunking,GR_10_Hr_10,FRA_2,2
